collection_id	collection_name	yoyo_id	primary_store
10425	Edition 300	keuco-edition-300-collection	yb
10426	iLook		
10427	Moll	keuco-moll-collection	yb
10428	New Elegance	keuco-new-elegance-collection	yb
10429	Plan		
10430	Royal T2		
10431	Royal Universe		
10432	Universal		
10433	Wire Basket		
10434	Cesca		
10435	Chadwick		
10436	Cini Boeri		
10437	Barber Osgerby Collection	knoll-collection-barber-osgerby	yv
10438	Barcelona	knoll-collection-barcelona	yv
10439	Bertoia	knoll-collection-bertoia	yv
10440	Florence Knoll	knoll-collection-florence-knoll	yv
10441	Krusin	knoll-collection-krusin	yv
10442	Laccio	knoll-collection-laccio	yv
10443	Ross Lovegrove Collection	knoll-collection-lovegrove	yv
10444	MR	knoll-collection-mr	yv
10445	Platner	knoll-collection-platner	yv
10446	Risom	knoll-collection-risom	yv
10447	Saarinen	knoll-collection-saarinen	yv
10448	Cyclone		
10449	Diamond		
10450	Divina		
10451	Gigi		
10452	Jamaica		
10453	Jehs + Laub Pedestal Lounge		
10454	Jehs + Laub Pedestal Lounge Fixed Back		
10455	Jehs + Laub Wire Base Lounge		
10456	Joseph Paul D&#039;Urso Residential Lounge		
10457	Krefeld		
10458	MR Lounge		
10459	Pfister Lounge		
10460	Pfister Petite Lounge		
10461	Platner Lounge		
10462	SM1 Lounge		
10463	Sprite		
10464	Stones		
10465	Suzanne		
10466	Arch		
10467	Cigno		
10468	Kubista		
10469	Minimal		
10470	Adirondack		
10471	Adirondack	loll-adirondack-collection	yv
10472	Alfresco		
10473	Alfresco	loll-alfresco-collection	yv
10474	Kids BBO2		
10475	Lotus		
10476	No. 9	loll-no-9-collection	yv
10477	Picket		
10478	Racer		
10479	Racer	loll-racer-collection	yv
10480	Rapson		
10481	Rapson	loll-rapson-collection	yv
10482	Reuse		
10483	Salmela	loll-salmela-collection	yv
10484	Satellite		
10485	Satellite	loll-satellite-collection	yv
10486	Deja-vu		
10487	Family_One	magis-family-one	yv
10488	Me Too	magis-me-too-collection	yv
10489	Paso Doble		
10490	Paso Doble Outdoor		
10491	Steelwood		
10492	Altamira Collection		
10493	Hslm F Collection		
10494	Lami Collection		
10495	Lapita Collection		
10496	Stingo Collection		
10497	Tl 1 Collection		
10498	LAXseries		
10499	PCHseries		
10500	Gymnasium		
10501	Space		
10502	Contemporary Beauty	mgs-faucets-contemporary-beauty-collection	yb
10503	Minimal Beauty	mgs-faucets-minimal-beauty-collection	yb
10504	Apothia		
10505	Bouquet 159	missoni-home-bouquet-159-collection	yv
10506	Fiammati 2	missoni-home-fiammati-2-collection	yv
10507	Foglie	missoni-home-foglie-collection	yv
10508	Girandole	missoni-home-girandole-collection	yv
10509	Black + White Golden Age	missoni-home-golden-age-b-and-w-collection	yv
10510	Goden Age	missoni-home-golden-age-collection	yv
10511	Golden Age Soft	missoni-home-golden-age-soft	yv
10512	Jill		
10513	John		
10514	John Blue		
10515	John Brown		
10516	John Orange		
10517	John Pink		
10518	Karl		
10519	Macrocrochet	missoni-home-macrocrochet-outdoor-collection	yv
10520	Macro Knit	missoni-home-macro-knit-collection	yv
10521	Margherita	missoni-home-margherita-outdoor-collection	yv
10522	Margherita Pointelle	missoni-home-margherita-pointillee-collection	yv
10523	Master Classic 148 Gold	missoni-home-master-classic-148-gold-collection	yv
10524	Master Classic 150 Blue	missoni-home-master-classic-150-blue-collection	yv
10525	Master Classic 156 Plum	missoni-home-master-classic-156-plum-collection	yv
10526	Master Classic Trevira 156 Vivid	missoni-home-master-classic-trevira-156-vivid-collection	yv
10527	Master Classic Trevira 160 Neutral	missoni-home-master-classic-trevira-160-neutral-collection	yv
10528	Master Moderno T59 Vivid	missoni-home-master-moderno-t59-vivid-collection	yv
10529	Master Moderno T60 Neutral	missoni-home-master-moderno-t60-neutral-collection	yv
10530	Master Moderno Trevira 156 Vivid	missoni-home-master-moderno-trevira-156-vivid-collection	yv
