designer_id	designer_name	yoyo_id	primary_store
9382	Gabriel Nigro	designer-gabriel-nigro	yv
9383	Gary Chang	designer-gary-chang	yv
9384	Geoffrey Harcourt RDI	designer-geoffrey-harcourt	yv
9385	George Nakashima	designer-george-nakashima	yv
9386	Gerald Brandst&amp;auml;tter	designer-gerald-brandstatter	yv
9387	Gerard Moline	designer-gerard-moline	yv
9388	Gerd Van Cauteren		
9389	Gerrit Rietveld	designer-gerrit-rietveld	yv
9390	Fernando Gerscovich &amp; Juan Diego Gerscovich	designer-gerscovich-brothers	yv
9391	Giacomo Mutti	designer-giacomo-mutti	yv
9392	Gianni Arnaudo		
9393	Gijs Bakker	designer-gijs-bakker	yv
9394	Giorgio Biscaro		
9395	Giorgio Cattelan	designer-giorgio-cattelan	yv
9396	Giorgio Del Piero	designer-giorgio-del-piero	yv
9397	Glen Oliver Low		
9398	G&amp;ouml;ran Hongell	designer-goran-hongell	yv
9399	Greenberg Kingsley	designer-greenberg-kingsley	yv
9400	Guglielmo Berchicci		
9401	Gugliemo Berchicci		
9402	Guido Cattelan	designer-guido-cattelan	yv
9403	Gunnar Cyr&amp;eacute;n		
9404	Gustaf Nordenski&amp;ouml;ld		
9405	Gustav Hallen	designer-gustav-hallen	yv
9406	Halskov + Dalsgaard	designer-halskov-dalsgaard	yv
9407	Hanz Lammersdorf	designer-hanz-lammersdorf	yv
9408	Harald Guggenbichler	designer-harald-guggenbichler	yv
9409	Harri Koskinen	designer-harri-koskinen	yv
9410	Harry Allen	designer-harry-allen	yv
9411	Harry Bertoia	designer-harry-bertoia	yv
9412	Heikki Orvola	designer-heikki-orvola	yv
9413	Henk Stallinga	designer-henk-stallinga	yv
9414	Henning Seidelin		
9415	Henriette Melchiorsen	designer-henriette-melchiorsen	yv
9416	Henrik Fisker	designer-henrik-fisker	yv
9417	Henry Kloss	designer-henry-kloss	yv
9418	Herbert Krenchel	designer-herbert-krenchel	yv
9419	Herzog &amp; de Meuron	designer-herzog-de-meuron	yv
9420	Hicham Lahlou	designer-hicham-lahlou	yb
9421	Holmbacknordentoft	designer-holmback-nordentoft	yv
9422	Ilaria Marelli	designer-ilaria-marelli	yv
9423	Ilmari Tapiovaara	designer-ilmari-tapiovaara	yv
9424	Industrial Facility		
9425	Ineke Hans	designer-ineke-hans	yv
9426	Inoda + Sveje	designer-inoda-and-sveje	yv
9427	Isamu Noguchi	designer-isamu-noguchi	yv
9428	Italo Pertichini		
9429	Jacob Marks	designer-jacob-marks	yv
9430	Jade Barnes Richardson	designer-jade-barnes-richardsons	yv
9431	Jae Omar	designer-jae-omar	yb
9432	Jakob Wagner	designer-jakob-wagner	yv
9433	Jamie Mclellan	designer-jamie-mclellan	yv
9434	Jan Hoekstra	designer-jan-hoekstra	yv
9435	Jani Martikainen		
9436	Jan Sabro	designer-jan-sabro	yv
